,作品名,作者（作画）,原作者など,連載開始,連載終了,備考
0,作品名,作者（作画）,原作者など,連載開始,連載終了,備考
399,けきしようはんほけつともんすたあたいやもんとあんとはあるあるせうすちようこくのしくうへ/劇場版ポケットモンスター ダイヤモンド&パール アルセウス 超克の時空へ,みそふち まこと/溝渕誠,－,2009.06,2009.07,－
400,ほけつともんすたあはあとこおるとそうるしるはあしようのたいほうけん/ポケットモンスターHG・SS ジョウの大冒険,まつしま りゆう/松島リュウ,－,2009.10,2010.02,－
401,とらえもんのひたのにんきよたいかいせん/ドラえもん のび太の人魚大海戦,ふしこふろ/藤子プロ,－,2010.02,2010.03,－
402,ころろ/ゴロロ,なかとし やすなり/ながとしやすなり,－,2010.03,2012.07,－
403,ましはんく/マジパング,てしろき たかし/てしろぎたかし,－,2010.04,2010.08,－
404,てんちやらすしいさんしや/でんぢゃらすじーさん邪,そやま かすとし/曽山一寿,－,2010.04,2017.03,－
405,けきしようはんほけつともんすたあたいやもんとあんとはあるけんえいのはしやそろああく/劇場版ポケットモンスター ダイヤモンド&パール 幻影の覇者 ゾロアーク,いのうえ ももた/井上桃太,－,2010.05,2010.07,－
406,ちようかつこうてんかつと/超ガッコウ伝 ガット!!,いはら しけかつ/伊原しげかつ,－,2010.05,2011.02,－
407,ちやれんししてみろまん/チャレンジして! ミロマン,たけうち いふき/武内いぶき,－,2010.05,2011.01,－
408,はくてくはくかん/爆TECH!爆丸,しんこ/槙吾,－,2010.09,2014.02,－
409,きめるのよおよお/キメルのYOYO!,かしもと まなう/樫本学ヴ,－,2010.10,2012.03,－
410,たんほおるせんき/ダンボール戦機,ふしい ひてあき/藤異秀明,－,2011.02,2012.01,－
411,てゆえるますたあすひくとりい/デュエル・マスターズ ビクトリー,まつもと しけのふ/松本しげのぶ,－,2011.04,2014.03,－
412,けきしようはんほけつともんすたあへすとういつしゆひくていにとくろきえいゆうせくろむ/劇場版ポケットモンスター ベストウイッシュ ビクティニと黒き英雄 ゼクロム,いのうえ ももた/井上桃太,－,2011.05,2011.07,－
413,ちようひのうりよくせんたいしゆわつつ/超!!微能力戦隊シュワッツ,おかた ゆういち/緒方雄一,－,2011.09,2012.02,－
414,きとうせんしかんたむえいしとれしやあすたあ/機動戦士ガンダムAGE トレジャースター,よした まさのり/吉田正紀,－,2011.10,2012.06,－
415,いなすまいれふんこお/イナズマイレブンGO,やふの てんや/やぶのてんや,－,2011.11,2014.04,－
416,とらえもんのひたときせきのしまあにまるあとへんちやあ/ドラえもん のび太と奇跡の島 〜アニマル アドベンチャー〜,ふしこふろ/藤子プロ,－,2011.11,2012.04,－
417,たんほおるせんきW/ダンボール戦機W,ふしい ひてあき/藤異秀明,－,2012.02,2013.03,－
418,めたるふあいとへいふれえとせろしい/メタルファイト ベイブレード ZEROG,あたち たかふみ/足立たかふみ,－,2012.04,2012.12,－
419,ふつとひすひなあきめる/ぶっとびスピナー キメル!!,かしもと まなう/樫本学ヴ,－,2012.04,2013.06,－
420,もんすたあれつてんおれかはとる/モンスター烈伝 オレカバトル,やまうら さとし/山浦聡,－,2012.05,2015.03,『別冊コロコロコミック』から移動
421,けきしようはんほけつともんすたあへすとういつしゆきゆれむたいせいけんしけるていお/劇場版ポケットモンスター ベストウイッシュ キュレムVS聖剣士 ケルディオ,いのうえ ももた/井上桃太,－,2012.06,2012.07,－
422,ほけつともんすたあふらつく2ほわいと2あらたなるてんせつ/ポケットモンスターB2・W2 新たなる伝説,かんた さとし/神田達志,－,2012.07,2012.10,－
423,きとうせんしかんたむえいしくらいまつくすひいろお/機動戦士ガンダムAGE 〜クライマックスヒーロー〜,たかみさき りよう/鷹岬諒,－,2012.07,2012.11,－
424,とことんふためん/トコとん!ブタメン,つちた しんのすけ/土田しんのすけ,－,2012.08,2013.01,－
425,しんとらへえす/新ドラベース,むきわら しんたろう/むぎわらしんたろう,－,2012.08,2014.10,－
426,うそつきこくおおくん/ウソツキ!ゴクオーくん,よしもと まこと/吉もと誠,－,2012.09,5000、ソート用連載中,『別冊コロコロコミック』から移動
